maingroup,mg_def
A01D59,HARVESTING - Equipment for binding harvested produce 
A01D61,HARVESTING - Elevators or conveyors for binders or combines 
A01D63,HARVESTING - Outside dividers
A01D65,HARVESTING - Grain-crop lifters
A01D67,HARVESTING - Undercarriages or frames specially adapted for harvesters or mowers 
A01D69,HARVESTING - Driving mechanisms or parts thereof for harvesters or mowers 
A01D75,HARVESTING - Accessories for harvesters or mowers
A01D76,HARVESTING - Haymakers with tines that are stationary with respect to the machine during operation but that may be liftable for dumping
A01D78,HARVESTING - Haymakers with tines moving with respect to the machine
A01D80,HARVESTING - Parts or details of 
A01D82,"HARVESTING - Crop conditioners, i.e. machines for crushing or bruising stalks "
A01D84,HARVESTING - Haymakers not provided for in a single one of groups A01D76/00-A01D82/00
A01D85,HARVESTING - Arrangements for making or setting stacks
A01D87,HARVESTING - Loaders for hay or like field crops 
A01D89,"HARVESTING - Pick-ups for loaders, chaff-cutters, balers, field-threshers, or the like "
A01D90,HARVESTING - Vehicles for carrying harvested crops with means for self-loading or unloading 
A01D91,HARVESTING - Methods for harvesting agricultural products 
A01D93,HARVESTING - Harvesting apparatus not provided for in other groups of this subclass
A01D2101,HARVESTING - Lawn-mowers
A01F1,"PROCESSING OF HARVESTED PRODUCE - Stationary apparatus or hand tools for forming or binding straw, hay or the like into bundles "
A01F3,"PROCESSING OF HARVESTED PRODUCE - Hand-operated implements for cutting-up straw, hay or the like "
A01F5,PROCESSING OF HARVESTED PRODUCE - Hand-operated implements for threshing
A01F7,PROCESSING OF HARVESTED PRODUCE - Threshing apparatus
A01F2009,PROCESSING OF HARVESTED PRODUCE - Threshing machines with flails
A01F11,PROCESSING OF HARVESTED PRODUCE - Threshing apparatus specially adapted for maize
A01F12,PROCESSING OF HARVESTED PRODUCE - Parts or details of threshing apparatus 
A01F13,PROCESSING OF HARVESTED PRODUCE - Hand-operated baling apparatus
A01F15,"PROCESSING OF HARVESTED PRODUCE - Baling presses for straw, hay or the like "
A01F17,PROCESSING OF HARVESTED PRODUCE - Straw conveyors for threshing machines or baling presses
A01F19,"PROCESSING OF HARVESTED PRODUCE - Devices for securing threshing machines or baling presses to the ground, e.g. for compensating for unevenness of the ground"
A01F21,PROCESSING OF HARVESTED PRODUCE - Devices for protecting human beings for threshing machines or baling presses 
A01F25,PROCESSING OF HARVESTED PRODUCE - Storing agricultural or horticultural produce
A01F29,"PROCESSING OF HARVESTED PRODUCE - Cutting apparatus specially adapted for cutting hay, straw or the like "
A01G1,HORTICULTURE - Horticulture
A01G3,HORTICULTURE - Cutting implements specially adapted for horticultural purposes
A01G5,HORTICULTURE - Floral handling
A01G7,HORTICULTURE - Botany in general 
A01G9,"HORTICULTURE - Cultivation of plants in receptacles, forcing-frames, or greenhouses  "
A01G11,HORTICULTURE - Sterilising soil by steam 
A01G13,HORTICULTURE - Protecting plants 
A01G15,HORTICULTURE - Devices or methods for influencing weather conditions 
A01G16,HORTICULTURE - Cultivation of rice 
A01G17,"HORTICULTURE - Cultivation of hops, vines, fruit trees, or like trees"
A01G21,HORTICULTURE - Devices for hanging-up harvested fruit
A01G23,HORTICULTURE - Forestry
A01G25,"HORTICULTURE - Watering gardens, fields, sports grounds, or the like "
A01G27,"HORTICULTURE - Self-acting watering devices, e.g. for flower-pots"
A01G29,HORTICULTURE - Root feeders
A01G31,HORTICULTURE - Hydroponics
A01G33,HORTICULTURE - Cultivation of seaweed 
A01H1,NEW PLANTS OR PROCESSES FOR OBTAINING THEM - Processes for modifying genotypes 
A01H3,"NEW PLANTS OR PROCESSES FOR OBTAINING THEM - Processes for modifying phenotypes, "
A01H4,NEW PLANTS OR PROCESSES FOR OBTAINING THEM - Plant reproduction by tissue culture techniques; 
A01H5,"NEW PLANTS OR PROCESSES FOR OBTAINING THEM - Flowering plants, i.e. angiosperms"
A01H7,"NEW PLANTS OR PROCESSES FOR OBTAINING THEM - Gymnosperms, e.g. conifers"
A01H9,"NEW PLANTS OR PROCESSES FOR OBTAINING THEM - Pteridophytes, e.g. ferns, club-mosses, horse-tails"
A01H11,"NEW PLANTS OR PROCESSES FOR OBTAINING THEM - Bryophytes, e.g. mosses, liverworts"
A01H13,NEW PLANTS OR PROCESSES FOR OBTAINING THEM - Algae 
A01H15,NEW PLANTS OR PROCESSES FOR OBTAINING THEM - Fungi
A01H17,"NEW PLANTS OR PROCESSES FOR OBTAINING THEM - Symbiotic or parasitic combinations including one or more new plants, e.g. mycorrhiza "
A01J1,MANUFACTURE OF DAIRY PRODUCTS  - Devices or accessories for milking by hand 
A01J3,MANUFACTURE OF DAIRY PRODUCTS  - Milking with catheters
A01J5,MANUFACTURE OF DAIRY PRODUCTS  - Milking machines or devices 
A01J7,MANUFACTURE OF DAIRY PRODUCTS  - Accessories for milking machines or devices
A01J9,MANUFACTURE OF DAIRY PRODUCTS  - Milk receptacles 
A01J11,MANUFACTURE OF DAIRY PRODUCTS  - Apparatus for treating milk 
A01J13,MANUFACTURE OF DAIRY PRODUCTS  - Tanks for treating cream
A01J15,MANUFACTURE OF DAIRY PRODUCTS  - Manufacturing butter
A01J17,"MANUFACTURE OF DAIRY PRODUCTS  - Kneading machines for butter, or the like "
A01J19,"MANUFACTURE OF DAIRY PRODUCTS  - Hand devices for forming slabs of butter, or the like"
A01J21,"MANUFACTURE OF DAIRY PRODUCTS  - Machines for forming slabs of butter, or the like"
A01J23,"MANUFACTURE OF DAIRY PRODUCTS  - Devices for dividing bulk butter, or the like"
A01J25,MANUFACTURE OF DAIRY PRODUCTS  - Cheese-making 
A01J27,MANUFACTURE OF DAIRY PRODUCTS  - After-treatment of cheese
A01J99,MANUFACTURE OF DAIRY PRODUCTS  - Subject matter not provided for in other groups of this subclass
A01K1,ANIMAL HUSBANDRY - Housing animals
A01K3,"ANIMAL HUSBANDRY - Pasturing equipment, e.g. tethering devices; "
A01K5,ANIMAL HUSBANDRY - Feeding devices for stock or game 
A01K7,ANIMAL HUSBANDRY - Watering equipment for stock or game
A01K9,ANIMAL HUSBANDRY - Sucking apparatus for young stock; 
A01K11,ANIMAL HUSBANDRY - Marking of animals 
A01K13,"ANIMAL HUSBANDRY - Devices for grooming or caring of animals, e.g. curry-combs "
A01K14,ANIMAL HUSBANDRY - Removing the fleece from live sheep or similar animals 
A01K15,"ANIMAL HUSBANDRY - Devices for taming animals, e.g. nose-rings, hobbles"
A01K17,ANIMAL HUSBANDRY - Dehorners
A01K19,ANIMAL HUSBANDRY - Weaning apparatus
A01K21,ANIMAL HUSBANDRY - Devices for assisting or preventing mating 
A01K23,ANIMAL HUSBANDRY - Manure or urine pouches 
A01K25,ANIMAL HUSBANDRY - Muzzles
A01K27,"ANIMAL HUSBANDRY - Leads or collars, e.g. for dogs "
