maingroup,mg_def
B60T17,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF - Component parts, details, or accessories of power brake systems not covered by groups B60T8/00, B60T13/00 or B60T15/00, or presenting other characteristic features "
B60T2201,VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF - Particular use of vehicle brake systems
B60T2210,VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF - Detection or estimation of road or environment conditions
B60T2220,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF - Monitoring, detecting driver behaviour"
B60T2230,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF - Monitoring, detecting special vehicle behaviour"
B60T2240,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF - Monitoring, detecting wheel/tire behaviour"
B60T2250,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF - Monitoring, detecting, estimating vehicle conditions"
B60T2260,VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF - Interaction of vehicle brake system with other systems
B60T2270,VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF - Further aspects of brake control systems not otherwise provided for
B60V1,AIR-CUSHION VEHICLES - Air-cushion 
B60V3,"AIR-CUSHION VEHICLES - Land vehicles, waterborne vessels, or aircraft, adapted or modified to travel on air cushions"
B60W10,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Conjoint control of vehicle sub-units of different type or different function 
B60W20,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Control systems specially adapted for hybrid vehicles
B60W30,"CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Purposes of road vehicle drive control systems not related to the control of a particular sub-unit, e.g. of systems using conjoint control of vehicle sub-units, "
B60W40,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Estimation or calculation of 
B60W50,"CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Details of control systems for road vehicle drive control not related to the control of a particular sub-unit, "
B60W2300,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Indexing codes relating to the type of vehicle
B60W2400,"CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Indexing codes relating to detected, measured or calculated conditions or factors"
B60W2420,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Indexing codes relating to the type of sensors based on the principle of their operation
B60W2422,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Indexing codes relating to the special location or mounting of sensors
B60W2510,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Input parameters relating to a particular sub-units
B60W2520,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Input parameters relating to overall vehicle dynamics
B60W2530,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Input parameters relating to other vehicle conditions or values
B60W2540,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Input parameters relating to the driver
B60W2550,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Input parameters relating to exterior conditions
B60W2560,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Other vehicle related input parameters not covered by groups B60W2510/00-B60W2550/00
B60W2600,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Indexing codes relating to automatic control systems or control processes
B60W2710,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Output or target parameters relating to a particular sub-units
B60W2720,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Output or target parameters relating to overall vehicle dynamics
B60W2750,"CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Output or target parameters relating to exterior, e.g. between vehicles"
B60W2900,"CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION - Indexing codes relating to the purpose of, or problem solved of road vehicle drive control systems not otherwise provided for in groups B60W30/00"
B60Y2200,INDEXING SCHEME RELATING TO ASPECTS CROSS-CUTTING VEHICLE TECHNOLOGY - Type of vehicle 
B60Y2300,INDEXING SCHEME RELATING TO ASPECTS CROSS-CUTTING VEHICLE TECHNOLOGY - Purposes or special features of road vehicle drive control systems 
B60Y2302,INDEXING SCHEME RELATING TO ASPECTS CROSS-CUTTING VEHICLE TECHNOLOGY - Responses or measures related to driver conditions 
B60Y2304,INDEXING SCHEME RELATING TO ASPECTS CROSS-CUTTING VEHICLE TECHNOLOGY - Optimising design
B60Y2306,INDEXING SCHEME RELATING TO ASPECTS CROSS-CUTTING VEHICLE TECHNOLOGY - Other features of vehicle sub-units
B60Y2400,INDEXING SCHEME RELATING TO ASPECTS CROSS-CUTTING VEHICLE TECHNOLOGY - Special features of vehicle units
B60Y2410,INDEXING SCHEME RELATING TO ASPECTS CROSS-CUTTING VEHICLE TECHNOLOGY - Constructional features of vehicle sub-units
B61B1,"RAILWAY SYSTEMS - General arrangement of stations, platforms, or sidings"
B61B3,RAILWAY SYSTEMS - Elevated railway systems with suspended vehicles 
B61B5,RAILWAY SYSTEMS - Elevated railway systems without suspended vehicles 
B61B7,RAILWAY SYSTEMS - Rope railway systems with suspended flexible tracks
B61B9,RAILWAY SYSTEMS - Tramway or funicular systems with rigid track and cable traction 
B61B10,RAILWAY SYSTEMS - Power and free systems 
B61B11,"RAILWAY SYSTEMS - Ski lift, sleigh lift or like trackless systems with guided towing cables only"
B61B12,"RAILWAY SYSTEMS - Component parts, details or accessories not provided for in groups B61B7/00-B61B11/00 "
B61B13,RAILWAY SYSTEMS - Other railway systems
B61B15,RAILWAY SYSTEMS - Combinations of railway systems
B61C1,LOCOMOTIVES - Steam locomotives or railcars 
B61C3,LOCOMOTIVES - Electric locomotives or railcars 
B61C5,LOCOMOTIVES - Locomotives or motor railcars with IC engines or gas turbines 
B61C7,LOCOMOTIVES - Other locomotives or motor railcars
B61C8,LOCOMOTIVES - Filling stations for steam- or pneumatic-accumulator locomotives or motor railcars
B61C9,LOCOMOTIVES - Locomotives or motor railcars characterised by the type of transmission system used
B61C11,LOCOMOTIVES - Locomotives or motor railcars characterised by the type of means applying the tractive effort
B61C13,LOCOMOTIVES - Locomotives or motor railcars characterised by their application to special systems or purposes 
B61C15,LOCOMOTIVES - Maintaining or augmenting the starting or braking power by auxiliary devices and measures
B61C17,LOCOMOTIVES - Arrangement or disposition of parts
B61D1,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Carriages for ordinary railway passenger traffic 
B61D3,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Wagons or vans 
B61D5,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Tank wagons for carrying fluent materials
B61D7,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Hopper cars 
B61D9,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Tipping wagons
B61D11,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Mine cars 
B61D13,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Tramway vehicles
B61D15,"BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Other railway vehicles, e.g. scaffold cars"
B61D17,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Construction details of vehicle bodies 
B61D19,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Door arrangements specially adapted for rail vehicles 
B61D23,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Construction of steps for railway vehicles 
B61D25,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Window arrangements peculiar to rail vehicles 
B61D27,"BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Heating, cooling, ventilating, or air-conditioning "
B61D29,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Lighting
B61D31,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Sleeping accommodation
B61D33,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Seats
B61D35,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Sanitation
B61D37,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Other furniture or furnishings
B61D39,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Wagon or like covers
B61D41,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Indicators for reserved seats
B61D43,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Devices for using the energy of the movements of the vehicles
B61D45,"BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Means or devices for securing or supporting the cargo, including protection against shocks "
B61D47,"BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Loading or unloading devices combined with vehicles, e.g. loading platforms, "
B61D49,BODY DETAILS OR KINDS OF RAILWAY VEHICLES  - Other details
B61F1,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES - Underframes "
B61F3,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES - Types of bogies "
B61F5,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES - Constructional details of bogies"
B61F7,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES - Rail vehicles equipped for use on tracks of different width"
B61F9,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES - Rail vehicles characterised by means for preventing derailing, e.g. by use of guide wheels"
B61F11,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES - Rail vehicles characterised by rail-engaging elements other than wheels, e.g. balls"
B61F13,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES - Rail vehicles characterised by wheel arrangements, not otherwise provided for"
B61F15,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES - Axle-boxes "
B61F17,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES - Lubrication specially adapted for axle-boxes of rail vehicles "
B61F19,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES - Wheel guards"
B61F99,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES - Subject matter not provided for in other groups of this subclass"
B61G1,"COUPLINGS - Couplings comprising interengaging parts of different shape or form and having links, bars, pins, shackles, or hooks as coupling means"
B61G3,COUPLINGS - Couplings comprising mating parts of similar shape or form which can be coupled without the use of any additional element or elements
B61G5,COUPLINGS - Couplings for special purposes not otherwise provided for
B61G7,COUPLINGS - Details or accessories
B61G9,COUPLINGS - Draw-gear
B61G11,COUPLINGS - Buffers 
B61H1,"BRAKES OR OTHER RETARDING APPARATUS PECULIAR TO RAIL VEHICLES - Applications or arrangements of brakes with a braking member or members co-operating with the periphery of the wheel rim, a drum, or the like "
B61H3,BRAKES OR OTHER RETARDING APPARATUS PECULIAR TO RAIL VEHICLES - Applications or arrangements of brakes with an outwardly movable braking member or members co-operating with the inner surface of a drum or the like 
B61H5,"BRAKES OR OTHER RETARDING APPARATUS PECULIAR TO RAIL VEHICLES - Applications or arrangements of brakes with substantially radial braking surfaces pressed together in axial direction, e.g. disc brakes "
B61H7,BRAKES OR OTHER RETARDING APPARATUS PECULIAR TO RAIL VEHICLES - Brakes with braking members co-operating with the track 
B61H9,BRAKES OR OTHER RETARDING APPARATUS PECULIAR TO RAIL VEHICLES - Brakes characterised by or modified for their application to special railway systems or purposes
B61H11,BRAKES OR OTHER RETARDING APPARATUS PECULIAR TO RAIL VEHICLES - Applications or arrangements of braking or retarding apparatus not otherwise provided for
B61H13,BRAKES OR OTHER RETARDING APPARATUS PECULIAR TO RAIL VEHICLES - Actuating rail vehicle brakes 
B61H15,"BRAKES OR OTHER RETARDING APPARATUS PECULIAR TO RAIL VEHICLES - Wear-compensating mechanisms, e.g. slack adjusters"
B61J1,SHIFTING OR SHUNTING OF RAIL VEHICLES  - Turntables
B61J3,SHIFTING OR SHUNTING OF RAIL VEHICLES  - Shunting or short-distance haulage devices
B61J99,SHIFTING OR SHUNTING OF RAIL VEHICLES  - Subject matter not provided for in other groups of this subclass
B61K1,"OTHER AUXILIARY EQUIPMENT FOR RAILWAYS  - Transferring passengers, articles, or freight to and from moving trains"
B61K3,OTHER AUXILIARY EQUIPMENT FOR RAILWAYS  - Wetting or lubricating rails or wheel flanges
B61K5,OTHER AUXILIARY EQUIPMENT FOR RAILWAYS  - Apparatus for placing vehicles on the track
B61K7,OTHER AUXILIARY EQUIPMENT FOR RAILWAYS  - Railway stops fixed to permanent way
B61K9,OTHER AUXILIARY EQUIPMENT FOR RAILWAYS  - Railway vehicle profile gauges
B61K11,"OTHER AUXILIARY EQUIPMENT FOR RAILWAYS  - Servicing peculiar to locomotives, e.g. filling with, or emptying of, water, sand, or the like at the depots "
B61K13,OTHER AUXILIARY EQUIPMENT FOR RAILWAYS  - Other auxiliaries or accessories for railways 
B61L1,"GUIDING RAILWAY TRAFFIC - Devices along the route controlled by interaction with the vehicle or vehicle train, "
B61L3,"GUIDING RAILWAY TRAFFIC - Devices along the route for controlling devices on the vehicle or vehicle train, e.g. to release brake, to operate a warning signal"
B61L5,GUIDING RAILWAY TRAFFIC - Local operating mechanisms for points or track-mounted scotch-blocks 
B61L7,"GUIDING RAILWAY TRAFFIC - Remote control of local operating means for points, signals, or trackmounted scotch-blocks "
B61L9,"GUIDING RAILWAY TRAFFIC - Illumination specially adapted for points, form signals, or gates "
B61L11,GUIDING RAILWAY TRAFFIC - Operation of points from the vehicle or by the passage of the vehicle
B61L13,GUIDING RAILWAY TRAFFIC - Operation of signals from the vehicle or by the passage of the vehicle
B61L15,GUIDING RAILWAY TRAFFIC - Indicators provided on the vehicle or vehicle train for signalling purposes; 
B61L17,GUIDING RAILWAY TRAFFIC - Switching systems for classification yards 
B61L19,"GUIDING RAILWAY TRAFFIC - Arrangements for interlocking between points and signals by means of a single interlocking device, "
B61L21,GUIDING RAILWAY TRAFFIC - Station blocking between signal boxes in one yard 
B61L23,"GUIDING RAILWAY TRAFFIC - Control, warning, or like safety means along the route or between vehicles or vehicle trains"
B61L25,GUIDING RAILWAY TRAFFIC - Recording or indicating positions or identities of vehicles or vehicle trains or setting of track apparatus
B61L27,GUIDING RAILWAY TRAFFIC - Central traffic control systems; 
B61L29,GUIDING RAILWAY TRAFFIC - Safety means for rail/road crossing traffic
B61L99,GUIDING RAILWAY TRAFFIC - Subject matter not provided for in other groups of this subclass
B61L2201,GUIDING RAILWAY TRAFFIC - Control methods
B61L2205,GUIDING RAILWAY TRAFFIC - Communication or navigation systems for railway traffic
B61L2207,GUIDING RAILWAY TRAFFIC - Features of light signals
B61L2210,GUIDING RAILWAY TRAFFIC - Vehicle systems
B62B1,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Hand carts having only one axis carrying one or more transport wheels"
B62B3,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Hand carts having more than one axis carrying transport wheels"
B62B5,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Accessories or details specially adapted for hand carts "
B62B7,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Carriages for children"
B62B9,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Accessories or details specially adapted for children's carriages or perambulators "
B62B11,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Hand-propelled vehicles not otherwise provided for "
B62B13,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Sledges with runners "
B62B15,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Other sledges"
B62B17,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Accessories or details of sledges "
B62B19,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Runners for carrying wheeled vehicles to facilitate travel on ice or snow"
B62B2202,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Indexing codes relating to type or characteristics of transported articles"
B62B2203,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Grasping, holding, supporting the objects"
B62B2204,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Ventilation"
B62B2205,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Hand-propelled vehicles or sledges being foldable or dismountable when not in use"
B62B2206,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Adjustable or convertible hand-propelled vehicles or sledges"
B62B2207,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Joining hand-propelled vehicles or sledges together"
B62B2301,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Wheel arrangements"
B62B2501,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS, PERAMBULATORS - Manufacturing"
B62C1,VEHICLES DRAWN BY ANIMALS - Types of vehicles
B62C3,VEHICLES DRAWN BY ANIMALS - Undercarriages or running gear of vehicles
B62C5,VEHICLES DRAWN BY ANIMALS - Draught assemblies 
B62C7,VEHICLES DRAWN BY ANIMALS - Braking mechanisms and brake control devices specially adapted for animal-drawn vehicles 
B62C9,VEHICLES DRAWN BY ANIMALS - Carriers or holders for whips
B62C11,"VEHICLES DRAWN BY ANIMALS - Safeguarding appliances not otherwise provided for, e.g. for readily releasing unmanageable draught animals"
B62D1,"MOTOR VEHICLES - Steering controls, i.e. means for initiating a change of direction of the vehicle"
B62D3,MOTOR VEHICLES - Steering gears 
B62D5,MOTOR VEHICLES - Power-assisted or power-driven steering 
B62D6,"MOTOR VEHICLES - Arrangements for automatically controlling steering depending on driving conditions sensed and responded to, e.g. control circuits "
B62D7,MOTOR VEHICLES - Steering linkage
B62D9,MOTOR VEHICLES - Steering deflectable wheels not otherwise provided for 
B62D11,MOTOR VEHICLES - Steering non-deflectable wheels
B62D12,MOTOR VEHICLES - Steering specially adapted for vehicles operating in tandem or having pivotally connected frames 
B62D13,MOTOR VEHICLES - Steering specially adapted for trailers 
B62D15,MOTOR VEHICLES - Steering not otherwise provided for
B62D17,"MOTOR VEHICLES - Means on vehicles for adjusting camber, castor, or toe-in"
B62D19,"MOTOR VEHICLES - Radius rods, i.e. distance members"
B62D21,"MOTOR VEHICLES - Understructures, i.e. chassis frame on which a vehicle body may be mounted "
B62D23,"MOTOR VEHICLES - Combined superstructure and frame, i.e. monocoque constructions "
B62D24,MOTOR VEHICLES - Connections between vehicle body and vehicle frame 
B62D25,MOTOR VEHICLES - Superstructure 
B62D27,MOTOR VEHICLES - Connections between superstructure 
B62D29,"MOTOR VEHICLES - Superstructures, "
B62D31,MOTOR VEHICLES - Superstructure for passenger vehicles 
B62D33,MOTOR VEHICLES - Superstructures for load-carrying vehicles 
B62D35,MOTOR VEHICLES - Vehicle bodies characterised by streamlining
B62D37,MOTOR VEHICLES - Stabilising vehicle bodies without controlling suspension arrangements
B62D39,MOTOR VEHICLES - Vehicle bodies not otherwise provided for 
B62D41,MOTOR VEHICLES - Fittings for identifying vehicles in case of collision
B62D43,"MOTOR VEHICLES - Spare wheel stowing, holding, or mounting arrangements"
B62D47,MOTOR VEHICLES - Motor vehicles or trailers predominantly for carrying passengers 
B62D49,MOTOR VEHICLES - Tractors 
B62D51,MOTOR VEHICLES - Motor vehicles characterised by the driver not being seated 
B62D53,MOTOR VEHICLES - Tractor-trailer combinations
B62D55,MOTOR VEHICLES - Endless track vehicles 
B62D57,"MOTOR VEHICLES - Vehicles characterised by having other propulsion or other ground- engaging means than wheels or endless track, alone or in addition to wheels or endless track "
B62D59,MOTOR VEHICLES - Trailers with driven ground wheels or the like
B62D61,"MOTOR VEHICLES - Motor vehicles or trailers, characterised by the arrangement or number of wheels, not otherwise provided for, e.g. four wheels in diamond pattern"
B62D63,MOTOR VEHICLES - Motor vehicles or trailers not otherwise provided for
B62D65,"MOTOR VEHICLES - Designing, manufacturing, e.g. assembling, facilitating disassembly, or structurally modifying motor vehicles or trailers, not otherwise provided for"
B62D67,"MOTOR VEHICLES - Systematic disassembly of vehicles for recovery of salvageable components, e.g. for recycling "
B62H1,CYCLE STANDS - Supports or stands forming part of or attached to cycles
B62H3,CYCLE STANDS - Separate supports or holders for parking or storing cycles 
B62H5,CYCLE STANDS - Appliances preventing or indicating unauthorized use or theft of cycles
B62H7,"CYCLE STANDS - Devices for learning to ride cycles, not otherwise provided for, e.g. assisting balance"
B62H2700,CYCLE STANDS - Supports or stands for two-wheel vehicles
B62J1,CYCLE SADDLES OR SEATS - Saddles or other seats for cycles
B62J3,CYCLE SADDLES OR SEATS - Acoustic signal or alarm devices 
B62J6,"CYCLE SADDLES OR SEATS - Arrangement of optical signalling or lighting devices on cycles, the mounting or supporting thereof or circuits therefor "
B62J7,CYCLE SADDLES OR SEATS - Luggage carriers
B62J9,"CYCLE SADDLES OR SEATS - Panniers, saddle bags, or other containers specially adapted to be attached to cycles"
B62J11,"CYCLE SADDLES OR SEATS - Supporting devices for attaching articles of definite shape to cycles, e.g. for maps, umbrellas, bottles"
B62J13,"CYCLE SADDLES OR SEATS - Guards for chain, chain drive or equivalent drive, e.g. belt drive"
B62J15,CYCLE SADDLES OR SEATS - Mud-guards for wheels
B62J17,CYCLE SADDLES OR SEATS - Weather guards for riders
B62J19,CYCLE SADDLES OR SEATS - Parking covers for cycles 
B62J21,"CYCLE SADDLES OR SEATS - Dress protectors, e.g. clips attached to the cycle "
B62J23,CYCLE SADDLES OR SEATS - Other protectors specially adapted for cycles
B62J25,CYCLE SADDLES OR SEATS - Foot-rests
B62J27,"CYCLE SADDLES OR SEATS - Safety equipment, e.g. crash bars "
B62J29,CYCLE SADDLES OR SEATS - Adaptations or arrangements of mirrors for use on cycles 
B62J31,CYCLE SADDLES OR SEATS - Installations of lubricating devices
B62J33,CYCLE SADDLES OR SEATS - Installations peculiar to cycles for warming riders 
B62J35,CYCLE SADDLES OR SEATS - Fuel tanks specially adapted for motor-cycles or engine-assisted cycles
B62J37,"CYCLE SADDLES OR SEATS - Arrangements of fuel supply lines, taps, or the like, on motor cycles or engine-assisted cycles"
B62J99,CYCLE SADDLES OR SEATS - Subject matter not provided for in other groups of this subclass
B62J2300,CYCLE SADDLES OR SEATS - Aspects relating to cycles not covered by the other groups of this subclass
B62J2700,CYCLE SADDLES OR SEATS - Bicycle seats and accessories
B62K1,CYCLES - Unicycles
B62K3,CYCLES - Bicycles
B62K5,"CYCLES - Cycles with handlebars, equipped with three or more main road wheels "
B62K7,CYCLES - Freight- or passenger-carrying cycles
B62K9,CYCLES - Children's cycles 
B62K11,"CYCLES - Motorcycles, engine-assisted cycles or motor scooters with one or two wheels "
B62K13,"CYCLES - Cycles convertible to, or transformable into, other type of cycle or land vehicle "
B62K15,CYCLES - Collapsible or foldable cycles
B62K17,CYCLES - Cycles not otherwise provided for
B62K19,CYCLES - Cycle frames 
B62K21,CYCLES - Steering devices 
B62K23,"CYCLES - Rider-operated controls specially adapted for cycles, i.e. means for initiating control operations, e.g. levers, grips "
B62K25,CYCLES - Axle suspensions 
B62K27,CYCLES - Sidecars
B62K2201,CYCLES - Springs used in cycle frames or parts thereof
B62K2202,CYCLES - Motorised scooters
B62K2204,CYCLES - Adaptations for driving cycles by electric motor 
B62K2206,CYCLES - Quick release mechanisms adapted for cycles
B62K2207,"CYCLES - Sensors adapted for use on cycles, not otherwise provided for"
B62K2208,"CYCLES - Arrangements of batteries on cycles, when not used for a cycle with auxiliary electric motor as provided for in B62M6/90"
B62K2700,CYCLES - Frames for bicycles
B62K2710,CYCLES - Frames or general construction of cycles with side cars or trailers
B62L1,BRAKES SPECIALLY ADAPTED FOR CYCLES  - Brakes 
B62L3,BRAKES SPECIALLY ADAPTED FOR CYCLES  - Brake-actuating mechanisms 
B62L5,"BRAKES SPECIALLY ADAPTED FOR CYCLES  - Brakes, or actuating mechanisms therefor, controlled by back-pedalling "
B62M1,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Rider propulsion of wheeled vehicles 
B62M3,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Construction of cranks operated by hand or foot
B62M5,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Foot-driven levers as pedal cranks which can be immobilised as foot-rests 
B62M6,"RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Rider propulsion of wheeled vehicles with additional source of power, e.g. combustion engine or electric motor"
B62M7,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Motorcycles characterised by position of motor or engine 
B62M9,"RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Transmissions characterised by use of an endless chain, belt, or the like "
B62M11,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Transmissions characterised by the use of inter-engaging toothed wheels or frictionally-engaging wheels 
B62M13,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Transmissions characterised by use of friction rollers engaging the periphery of the ground wheel 
B62M15,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Transmissions characterised by use of crank shafts and coupling rods
B62M17,"RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Transmissions characterised by use of rotary shaft, e.g. cardan shaft"
B62M19,"RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Transmissions characterised by use of non-mechanical gearing, e.g. fluid gearing"
B62M21,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Transmissions characterised by use of resilient elements therein
B62M23,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Transmissions characterised by use of other elements
B62M25,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Actuators for gearing speed-change mechanisms specially adapted for cycles 
B62M27,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Propulsion devices for sledges or the like 
B62M29,"RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Ground engaging propulsion devices for cycles, sledges, or rider-propelled wheeled vehicles, not otherwise provided for "
B62M2700,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Rider propulsion of bicycles or vehicles having transmission mainly of unchangeable ratio
B62M2701,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Transmissions for motorcycles or motorised bicycles characterised by position of engine or gear box
B62M2901,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES - Rear derailleur supported by the chain-stay or rear fork of the bicycle
B63B1,SHIPS OR OTHER WATERBORNE VESSELS - Hydrodynamic or hydrostatic features of hulls or of hydrofoils 
